Points		Gain_val	Throw_val	Gain_win	Throw_win
60		17		2		2873		2127
50		9		5		1472		3528
80		8		1		5000		0
60		17		3		4175		825
90		16		1		5000		0
50		9		6		756		4244
100		11		6		1477		3523
80		8		2		4626		374
60		17		4		3809		1191
50		9		7		4851		149
90		16		2		3760		1240
100		11		7		2858		2142
50		9		8		1206		3794
80		8		3		4997		3
90		16		3		1582		3418
50		9		9		4124		876
60		17		5		4999		1
100		11		8		2809		2191
80		8		4		1205		3795
50		9		10		2759		2241
60		17		6		4295		705
90		16		4		4353		647
50		10		1		5000		0
80		8		5		2206		2794
100		11		9		911		4089
60		17		7		736		4264
50		10		2		5000		0
80		8		6		1540		3460
90		16		5		3071		1929
100		11		10		2428		2572
60		17		8		3390		1610
50		10		3		5000		0
80		8		7		806		4194
60		17		9		1625		3375
90		16		6		4041		959
50		10		4		3588		1412
100		12		1		5000		0
80		8		8		2716		2284
60		17		10		2878		2122
50		10		5		1567		3433
90		16		7		1248		3752
100		12		2		4625		375
60		18		1		5000		0
50		10		6		1451		3549
80		8		9		5000		0
90		16		8		2365		2635
60		18		2		5000		0
50		10		7		0		5000
80		8		10		1239		3761
60		18		3		5000		0
50		10		8		1178		3822
100		12		3		5000		0
90		16		9		2397		2603
50		10		9		2765		2235
60		18		4		5000		0
80		9		1		5000		0
90		16		10		3700		1300
100		12		4		4998		2
50		10		10		4866		134
60		18		5		3781		1219
80		9		2		4598		402
50		11		1		5000		0
60		18		6		5000		0
90		17		1		5000		0
100		12		5		2834		2166
50		11		2		5000		0
80		9		3		5000		0
90		17		2		3991		1009
60		18		7		4998		2
50		11		3		5000		0
100		12		6		2508		2492
80		9		4		1627		3373
50		11		4		4999		1
90		17		3		3217		1783
50		11		5		5000		0
80		9		5		3244		1756
100		12		7		3358		1642
60		18		8		3359		1641
90		17		4		735		4265
50		11		6		1505		3495
60		18		9		5000		0
80		9		6		1163		3837
100		12		8		2293		2707
50		11		7		3447		1553
90		17		5		5000		0
80		9		7		3575		1425
50		11		8		2869		2131
60		18		10		1628		3372
100		12		9		2391		2609
50		11		9		3022		1978
90		17		6		4999		1
60		19		1		5000		0
80		9		8		2519		2481
60		19		2		4518		482
50		11		10		3152		1848
100		12		10		3696		1304
90		17		7		1316		3684
80		9		9		2496		2504
60		19		3		4219		781
50		12		1		5000		0
80		9		10		1173		3827
90		17		8		1277		3723
60		19		4		5000		0
100		13		1		5000		0
50		12		2		4366		634
90		17		9		0		5000
60		19		5		5000		0
50		12		3		3956		1044
100		13		2		3761		1239
80		10		1		5000		0
50		12		4		4999		1
60		19		6		5000		0
90		17		10		1213		3787
80		10		2		4099		901
100		13		3		4293		707
50		12		5		57		4943
60		19		7		4242		758
90		18		1		5000		0
60		19		8		1721		3279
80		10		3		5000		0
50		12		6		1949		3051
90		18		2		2849		2151
100		13		4		4448		552
60		19		9		1455		3545
50		12		7		1396		3604
80		10		4		3768		1232
90		18		3		3558		1442
50		12		8		2267		2733
60		19		10		2109		2891
80		10		5		3802		1198
100		13		5		2785		2215
50		12		9		5000		0
90		18		4		3102		1898
60		20		1		5000		0
80		10		6		1908		3092
50		12		10		2372		2628
60		20		2		2782		2218
100		13		6		0		5000
90		18		5		5000		0
60		20		3		3973		1027
80		10		7		0		5000
50		13		1		5000		0
60		20		4		4105		895
80		10		8		1980		3020
90		18		6		1838		3162
50		13		2		3689		1311
100		13		7		916		4084
60		20		5		5000		0
50		13		3		5000		0
90		18		7		3204		1796
80		10		9		3307		1693
60		20		6		4999		1
100		13		8		2769		2231
50		13		4		5000		0
80		10		10		1852		3148
90		18		8		1289		3711
50		13		5		2058		2942
60		20		7		4443		557
100		13		9		1867		3133
80		11		1		5000		0
60		20		8		4776		224
50		13		6		0		5000
90		18		9		1212		3788
100		13		10		2067		2933
60		20		9		3157		1843
50		13		7		185		4815
90		18		10		1287		3713
80		11		2		4596		404
